Code,Country,Power Consumption KWH,Text
PRY,Paraguay,8125000000,Paraguay 8125000000
PER,Peru,35690000000,Peru 35690000000
PHL,Philippines,75270000000,Philippines 75270000000
POL,Poland,1.39E+11,Poland 139000000000
PRT,Portugal,46250000000,Portugal 46250000000
PRI,Puerto Rico,18620000000,Puerto Rico 18620000000
QAT,Qatar,30530000000,Qatar 30530000000
ROU,Romania,50730000000,Romania 50730000000
RUS,Russia,1.065E+12,Russia 1065000000000
RWA,Rwanda,365500000,Rwanda 365500000
KNA,Saint Kitts and Nevis,7440000,Saint Kitts and Nevis 7440000
LCA,Saint Lucia,39990000,Saint Lucia 39990000
MAF,Saint Martin,127400000,Saint Martin 127400000
SPM,Saint Pierre and Miquelon,130200000,Saint Pierre and Miquelon 130200000
VCT,Saint Vincent and the Grenadines,336400000,Saint Vincent and the Grenadines 336400000
WSM,Samoa,90400000,Samoa 90400000
SMR,San Marino,60450000,San Marino 60450000
SAU,Saudi,2.316E+11,Saudi 231600000000
SEN,Senegal,2586000000,Senegal 2586000000
SRB,Serbia,26910000000,Serbia 26910000000
SYC,Seychelles,293900000,Seychelles 293900000
SLE,Sierra Leone,134900000,Sierra Leone 134900000
SGP,Singapore,47180000000,Singapore 47180000000
SVK,Slovakia,28360000000,Slovakia 28360000000
SVN,Slovenia,13020000000,Slovenia 13020000000
SLB,Solomon,79050000,Solomon 79050000
SOM,Somalia,293000000,Somalia 293000000
ZAF,South,694100000,South 694100000
SSD,South,2.116E+11,South 211600000000
ESP,Spain,2.431E+11,Spain 243100000000
LKA,Sri,10170000000,Sri 10170000000
SDN,Sudan,5665000000,Sudan 5665000000
SUR,Suriname,1572000000,Suriname 1572000000
SWZ,Swaziland,1295000000,Swaziland 1295000000
SWE,Sweden,1.305E+11,Sweden 130500000000
CHE,Switzerland,58010000000,Switzerland 58010000000
SYR,Syria,25700000000,Syria 25700000000
TWN,Taiwan,2.495E+11,Taiwan 249500000000
TJK,Tajikistan,14420000000,Tajikistan 14420000000
TZA,Tanzania,4545000000,Tanzania 4545000000
THA,Thailand,1.559E+11,Thailand 155900000000
TLS,Timor-Leste,125300000,Timor-Leste 125300000
TGO,Togo,976000000,Togo 976000000
TON,Tonga,44640000,Tonga 44640000
TTO,Trinidad,8365000000,Trinidad 8365000000
TUN,Tunisia,13310000000,Tunisia 13310000000
TUR,Turkey,1.97E+11,Turkey 197000000000
TKM,Turkmenistan,11750000000,Turkmenistan 11750000000
TUV,Turks,167400000,Turks 167400000
UGA,Uganda,2821000000,Uganda 2821000000
UKR,Ukraine,1.598E+11,Ukraine 159800000000
ARE,United Arab Emirates,93280000000,United Arab Emirates 93280000000
GBR,United Kingdom,3.191E+11,United Kingdom 319100000000
USA,United States,3.832E+12,United States 3832000000000
URY,Uruguay,9559000000,Uruguay 9559000000
UZB,Uzbekistan,45210000000,Uzbekistan 45210000000
VUT,Vanuatu,49290000,Vanuatu 49290000
VEN,Venezuela,97690000000,Venezuela 97690000000
VNM,Vietnam,1.083E+11,Vietnam 108300000000
VGB,Virgin Islands,723500000,Virgin Islands 723500000
WBG,West Bank,5312000000,West Bank 5312000000
YEM,Yemen,3838000000,Yemen 3838000000
ZMB,Zambia,8327000000,Zambia 8327000000
ZWE,Zimbabwe,6831000000,Zimbabwe 6831000000
